id,chapter,title,date,location,year,chapter_city,latitude,longitude
264233861,rladies-tampa,Getting Started with Blogdown ,2019-10-12,inperson,2019,"Tampa, FL",27.9477595,-82.458444
265495694,rladies-bogor,Linear regression using R!!,2019-10-12,inperson,2019,Bogor,-6.5962986,106.7972421
265393227,rladies-melbourne,Intro to Data Analysis and Graphics with R,2019-10-11,inperson,2019,Melbourne,-37.8142454,144.9631732
265381772,rladies-san-diego,Welcome to the tidyverse! AKA: R for beginners 2.0,2019-10-10,inperson,2019,"San Diego, CA",32.7174202,-117.1627728
265252237,rladies-irvine,Halloween Hackathon,2019-10-10,inperson,2019,"Irvine, CA",33.6856969,-117.8259819
265404696,rladies-buffalo,BuffaloR and R-LadiesBuffalo Combo Meeting,2019-10-10,inperson,2019,"Buffalo, NY",42.8867166,-78.8783922
265404333,rladies-buffalo,BuffaloR and R-LadiesBuffalo Combo Meeting,2019-10-10,inperson,2019,"Buffalo, NY",42.8867166,-78.8783922
265380006,rladies-concepcion,Procesamiento de Información Geoespacial,2019-10-10,inperson,2019,Concepción,-36.8270795,-73.0502399
265314344,rladies-columbus,Experience the power of version control! - Use Git with RStudio,2019-10-10,inperson,2019,"Columbus, OH",39.9622601,-83.0007065
265086293,rladies-auckland,Spatial data and making maps in R,2019-10-10,inperson,2019,Auckland,-36.852095,174.7631803
