word,month,n,month_total,percent,year
passenger,3,0,35,0,1970.0027397260274
passenger,4,0,20,0,1970.0027397260274
passenger,5,0,20,0,1970.0027397260274
passenger,6,0,11,0,1970.0027397260274
passenger,7,0,24,0,1970.0027397260274
passenger,8,0,17,0,1970.0027397260274
passenger,9,1,29,0.034482758620689655,1970.0027397260274
passenger,10,0,24,0,1970.0027397260274
passenger,11,0,23,0,1970.0027397260274
passenger,12,1,21,0.047619047619047616,1970.0027397260274
passing,1,0,19,0,1970.0027397260274
passing,2,1,10,0.1,1970.0027397260274
passing,3,0,35,0,1970.0027397260274
passing,4,0,20,0,1970.0027397260274
passing,5,0,20,0,1970.0027397260274
passing,6,0,11,0,1970.0027397260274
passing,7,0,24,0,1970.0027397260274
passing,8,0,17,0,1970.0027397260274
passing,9,0,29,0,1970.0027397260274
passing,10,0,24,0,1970.0027397260274
passing,11,0,23,0,1970.0027397260274
passing,12,0,21,0,1970.0027397260274
patients,1,1,19,0.05263157894736842,1970.0027397260274
patients,2,0,10,0,1970.0027397260274
patients,3,0,35,0,1970.0027397260274
patients,4,0,20,0,1970.0027397260274
patients,5,0,20,0,1970.0027397260274
patients,6,0,11,0,1970.0027397260274
patients,7,0,24,0,1970.0027397260274
patients,8,0,17,0,1970.0027397260274
patients,9,0,29,0,1970.0027397260274
patients,10,0,24,0,1970.0027397260274
patients,11,0,23,0,1970.0027397260274
patients,12,0,21,0,1970.0027397260274
patrons,1,0,19,0,1970.0027397260274
patrons,2,0,10,0,1970.0027397260274
patrons,3,1,35,0.02857142857142857,1970.0027397260274
patrons,4,0,20,0,1970.0027397260274
patrons,5,0,20,0,1970.0027397260274
patrons,6,0,11,0,1970.0027397260274
patrons,7,0,24,0,1970.0027397260274
patrons,8,0,17,0,1970.0027397260274
patrons,9,0,29,0,1970.0027397260274
patrons,10,0,24,0,1970.0027397260274
patrons,11,0,23,0,1970.0027397260274
patrons,12,0,21,0,1970.0027397260274
pay,1,0,19,0,1970.0027397260274
pay,2,0,10,0,1970.0027397260274
pay,3,0,35,0,1970.0027397260274
pay,4,1,20,0.05,1970.0027397260274
pay,5,0,20,0,1970.0027397260274
pay,6,0,11,0,1970.0027397260274
pay,7,0,24,0,1970.0027397260274
pay,8,0,17,0,1970.0027397260274
pay,9,0,29,0,1970.0027397260274
pay,10,0,24,0,1970.0027397260274
pay,11,0,23,0,1970.0027397260274
pay,12,0,21,0,1970.0027397260274
payment,1,1,19,0.05263157894736842,1970.0027397260274
payment,2,0,10,0,1970.0027397260274
payment,3,0,35,0,1970.0027397260274
payment,4,0,20,0,1970.0027397260274
payment,5,0,20,0,1970.0027397260274
payment,6,0,11,0,1970.0027397260274
payment,7,0,24,0,1970.0027397260274
payment,8,0,17,0,1970.0027397260274
payment,9,0,29,0,1970.0027397260274
payment,10,0,24,0,1970.0027397260274
payment,11,0,23,0,1970.0027397260274
payment,12,0,21,0,1970.0027397260274
pedestrian,1,0,19,0,1970.0027397260274
pedestrian,2,0,10,0,1970.0027397260274
pedestrian,3,0,35,0,1970.0027397260274
pedestrian,4,0,20,0,1970.0027397260274
pedestrian,5,0,20,0,1970.0027397260274
pedestrian,6,1,11,0.09090909090909091,1970.0027397260274
pedestrian,7,0,24,0,1970.0027397260274
pedestrian,8,0,17,0,1970.0027397260274
pedestrian,9,0,29,0,1970.0027397260274
pedestrian,10,0,24,0,1970.0027397260274
pedestrian,11,0,23,0,1970.0027397260274
pedestrian,12,0,21,0,1970.0027397260274
peel,1,0,19,0,1970.0027397260274
peel,2,0,10,0,1970.0027397260274
peel,3,0,35,0,1970.0027397260274
peel,4,0,20,0,1970.0027397260274
peel,5,0,20,0,1970.0027397260274
peel,6,0,11,0,1970.0027397260274
peel,7,0,24,0,1970.0027397260274
peel,8,0,17,0,1970.0027397260274
peel,9,1,29,0.034482758620689655,1970.0027397260274
peel,10,0,24,0,1970.0027397260274
peel,11,0,23,0,1970.0027397260274
peel,12,0,21,0,1970.0027397260274
penis,1,0,19,0,1970.0027397260274
penis,2,0,10,0,1970.0027397260274
penis,3,0,35,0,1970.0027397260274
penis,4,0,20,0,1970.0027397260274
penis,5,0,20,0,1970.0027397260274
penis,6,0,11,0,1970.0027397260274
penis,7,0,24,0,1970.0027397260274
penis,8,1,17,0.058823529411764705,1970.0027397260274
penis,9,0,29,0,1970.0027397260274
penis,10,1,24,0.041666666666666664,1970.0027397260274
