name,type,ra,dec,image
K2-18,Star,172.56049060233,7.58840426347,http://commons.wikimedia.org/wiki/Special:FilePath/K2-18%20seen%20by%20SDSS.jpg
Kappa Crucis,Cluster,193.45383256528,-60.37624162151,NA
Kappa Cygni,Star,289.27570134506874,53.36845827781306,NA
Keyhole Nebula,Nebula,161.079167,-59.889167,http://commons.wikimedia.org/wiki/Special:FilePath/Keyhole%20in%20the%20Carina%20Nebula%20%28eso0905a%20crop%29.jpg
LDN 1355,Nebula,43.175,69.033,http://commons.wikimedia.org/wiki/Special:FilePath/Helping%20Hand%20LDN1355.jpg
LDN 1622,Nebula,88.6167,1.8033,NA
LH 95,Nebula,84.2656958,-66.3674139,http://commons.wikimedia.org/wiki/Special:FilePath/LH%2095.jpg
LL Pegasi,Star,349.8025292,17.1925361,http://commons.wikimedia.org/wiki/Special:FilePath/Celestial%20spiral%20with%20a%20twist.jpg
La Superba,Star,191.28260867319,45.44025730789,http://commons.wikimedia.org/wiki/Special:FilePath/Y%20Canum%20Venaticorum%20RGB.jpg
Lagoon Nebula,Nebula,270.9042,-24.3867,http://commons.wikimedia.org/wiki/Special:FilePath/LagoonHunterWilson.jpg
Lambda Centauri,Star,173.94532537821,-63.01983499360999,http://commons.wikimedia.org/wiki/Special:FilePath/Lambda%20Centauri%20Star.jpg
Large Magellanic Cloud,Galaxy,80.89417,-69.75611,http://commons.wikimedia.org/wiki/Special:FilePath/Large.mc.arp.750pix.jpg
Leo I,Galaxy,152.117167,12.3065,http://commons.wikimedia.org/wiki/Special:FilePath/Ugc5470.jpg
Leo Triplet,Galaxy,169.75,13.2,http://commons.wikimedia.org/wiki/Special:FilePath/Galaxies-M65-M66-NGC3628.jpeg
Leo Triplet,Cluster,169.75,13.2,http://commons.wikimedia.org/wiki/Special:FilePath/Galaxies-M65-M66-NGC3628.jpeg
Little Dumbbell Nebula,Nebula,25.58191862820125,51.57543142582611,http://commons.wikimedia.org/wiki/Special:FilePath/Little%20Dumbbell%20Nebula%20M76.jpg
Little Ghost Nebula,Nebula,262.33523604620996,-23.75965883868,http://commons.wikimedia.org/wiki/Special:FilePath/NGC%206369HST.jpg
Local Interstellar Cloud,Nebula,70.3,31.2,http://commons.wikimedia.org/wiki/Special:FilePath/Local%20Interstellar%20Clouds%20with%20motion%20arrows.jpg
Local Void,Galaxy,279.5,18,NA
Lyra,Constellation,1130,36.5,http://commons.wikimedia.org/wiki/Special:FilePath/LyraCC.jpg
M1-67,Nebula,287.87863379612,16.86058616542,http://commons.wikimedia.org/wiki/Special:FilePath/A%20cosmic%20couple.jpg
M2-9,Nebula,256.4081333,-10.1429389,http://commons.wikimedia.org/wiki/Special:FilePath/Planetary%20Nebula%20M2-9.jpg
M60-UCD1,Galaxy,190.89985,11.5346361,http://commons.wikimedia.org/wiki/Special:FilePath/M60-UCD1%20by%20HST.jpg
